Bus Voltage,Power,Current
4.50 V,704.00 mW,155.30 mA
4.50 V,698.00 mW,156.60 mA
4.50 V,698.00 mW,155.40 mA
4.50 V,702.00 mW,156.30 mA
4.50 V,698.00 mW,155.90 mA
4.54 V,692.00 mW,110.00 mA
4.50 V,702.00 mW,155.70 mA
4.50 V,704.00 mW,156.90 mA
4.50 V,702.00 mW,156.10 mA
4.50 V,702.00 mW,156.80 mA
4.50 V,702.00 mW,154.90 mA
4.49 V,702.00 mW,156.40 mA
4.50 V,692.00 mW,155.30 mA
4.50 V,702.00 mW,156.80 mA
4.50 V,698.00 mW,155.60 mA
4.50 V,702.00 mW,156.90 mA
4.50 V,702.00 mW,155.90 mA
4.50 V,702.00 mW,156.60 mA
4.53 V,698.00 mW,140.70 mA
4.50 V,702.00 mW,157.00 mA
4.50 V,702.00 mW,155.40 mA
4.50 V,698.00 mW,156.70 mA
4.50 V,702.00 mW,155.30 mA
4.50 V,698.00 mW,156.20 mA
4.50 V,702.00 mW,156.50 mA
4.50 V,684.00 mW,157.60 mA
4.50 V,702.00 mW,156.00 mA
4.50 V,704.00 mW,156.50 mA
4.50 V,704.00 mW,156.10 mA
4.50 V,702.00 mW,157.10 mA
4.50 V,702.00 mW,155.30 mA
4.49 V,698.00 mW,147.10 mA
4.49 V,698.00 mW,155.60 mA
4.50 V,698.00 mW,156.50 mA
4.50 V,698.00 mW,155.60 mA
4.50 V,704.00 mW,157.10 mA
4.50 V,702.00 mW,155.90 mA
4.50 V,698.00 mW,156.50 mA
4.51 V,586.00 mW,155.50 mA
4.49 V,702.00 mW,157.00 mA
4.50 V,702.00 mW,155.50 mA
4.50 V,698.00 mW,156.20 mA
4.50 V,698.00 mW,155.50 mA
4.50 V,702.00 mW,156.20 mA
4.50 V,702.00 mW,150.90 mA
4.50 V,702.00 mW,157.40 mA
4.50 V,698.00 mW,155.80 mA
4.50 V,702.00 mW,156.70 mA
4.50 V,702.00 mW,156.30 mA
4.50 V,702.00 mW,156.70 mA
4.50 V,698.00 mW,155.10 mA
4.59 V,544.00 mW,155.70 mA
4.50 V,702.00 mW,155.40 mA
4.50 V,702.00 mW,156.60 mA
4.50 V,702.00 mW,155.70 mA
