Bus Voltage,Power,Current
4.51 V,184.00 mW,59.10 mA
4.33 V,250.00 mW,61.00 mA
4.43 V,268.00 mW,50.00 mA
4.47 V,220.00 mW,49.00 mA
4.50 V,184.00 mW,46.90 mA
4.34 V,256.00 mW,60.50 mA
4.35 V,272.00 mW,49.60 mA
4.48 V,216.00 mW,48.40 mA
4.55 V,180.00 mW,49.20 mA
4.33 V,262.00 mW,63.20 mA
4.40 V,272.00 mW,51.50 mA
4.48 V,220.00 mW,48.80 mA
4.50 V,184.00 mW,47.40 mA
4.33 V,258.00 mW,62.30 mA
4.45 V,272.00 mW,49.40 mA
4.47 V,220.00 mW,48.90 mA
4.50 V,186.00 mW,47.10 mA
4.34 V,258.00 mW,60.40 mA
4.39 V,276.00 mW,49.60 mA
4.48 V,216.00 mW,48.50 mA
4.52 V,184.00 mW,61.10 mA
4.32 V,250.00 mW,62.60 mA
4.43 V,272.00 mW,50.90 mA
4.48 V,216.00 mW,48.70 mA
4.50 V,184.00 mW,47.50 mA
4.32 V,258.00 mW,62.70 mA
4.36 V,272.00 mW,49.30 mA
4.47 V,220.00 mW,49.00 mA
4.53 V,184.00 mW,51.10 mA
4.34 V,258.00 mW,61.70 mA
4.42 V,268.00 mW,50.60 mA
4.48 V,220.00 mW,48.20 mA
4.52 V,184.00 mW,46.30 mA
4.34 V,252.00 mW,61.00 mA
4.45 V,276.00 mW,49.80 mA
4.48 V,216.00 mW,48.80 mA
4.50 V,184.00 mW,47.80 mA
4.33 V,262.00 mW,63.30 mA
4.43 V,272.00 mW,48.60 mA
4.47 V,220.00 mW,49.00 mA
4.51 V,186.00 mW,49.90 mA
4.34 V,246.00 mW,61.50 mA
4.45 V,272.00 mW,49.60 mA
4.48 V,220.00 mW,48.50 mA
4.51 V,184.00 mW,46.50 mA
4.34 V,252.00 mW,60.90 mA
4.40 V,272.00 mW,49.60 mA
4.48 V,216.00 mW,48.60 mA
4.54 V,184.00 mW,49.80 mA
4.34 V,262.00 mW,61.50 mA
4.41 V,266.00 mW,51.10 mA
4.47 V,220.00 mW,49.00 mA
